image_ID,Class
frame64.jpg,1
frame65.jpg,1
frame66.jpg,1
frame67.jpg,1
frame68.jpg,1
frame69.jpg,1
frame70.jpg,1
frame71.jpg,1
frame72.jpg,1
frame73.jpg,1
frame74.jpg,1
frame75.jpg,1
frame76.jpg,1
frame77.jpg,1
frame78.jpg,1
frame79.jpg,1
frame80.jpg,1
frame81.jpg,1
frame82.jpg,1
frame83.jpg,1
frame84.jpg,1
frame85.jpg,1
frame86.jpg,1
frame87.jpg,1
frame88.jpg,1
frame89.jpg,1
frame90.jpg,1
frame91.jpg,1
frame92.jpg,1
frame93.jpg,1
frame94.jpg,1
frame95.jpg,1
frame96.jpg,1
frame97.jpg,1
frame98.jpg,1
frame99.jpg,1
frame100.jpg,1
frame101.jpg,1
frame102.jpg,1
frame103.jpg,1
frame104.jpg,1
frame105.jpg,1
frame106.jpg,1
frame107.jpg,1
frame108.jpg,1
frame109.jpg,1
frame110.jpg,1
frame111.jpg,1
frame112.jpg,1
frame113.jpg,1
frame114.jpg,1
frame115.jpg,1
frame116.jpg,1
frame117.jpg,1
frame118.jpg,1
frame119.jpg,1
frame120.jpg,1
frame121.jpg,1
frame122.jpg,1
frame123.jpg,1
frame124.jpg,1
frame125.jpg,1
frame126.jpg,1
