image_ID,Class
frame0.jpg,1
frame1.jpg,0
frame2.jpg,0
frame3.jpg,0
frame4.jpg,0
frame5.jpg,0
frame6.jpg,0
frame7.jpg,0
frame8.jpg,0
frame9.jpg,0
frame10.jpg,0
frame11.jpg,0
frame12.jpg,1
frame13.jpg,1
frame14.jpg,1
frame15.jpg,0
frame16.jpg,0
frame17.jpg,0
frame18.jpg,0
frame19.jpg,0
frame20.jpg,0
frame21.jpg,0
frame22.jpg,0
frame23.jpg,0
frame24.jpg,0
frame25.jpg,0
frame26.jpg,0
frame27.jpg,0
frame28.jpg,0
frame29.jpg,0
frame30.jpg,0
frame31.jpg,0
frame32.jpg,0
frame33.jpg,0
frame34.jpg,0
frame35.jpg,0
frame36.jpg,0
frame37.jpg,0
frame38.jpg,0
frame39.jpg,0
frame40.jpg,0
frame41.jpg,0
frame42.jpg,0
frame43.jpg,0
frame44.jpg,0
frame45.jpg,0
frame46.jpg,0
frame47.jpg,0
frame48.jpg,0
frame49.jpg,0
frame50.jpg,0
frame51.jpg,0
frame52.jpg,1
frame53.jpg,1
frame54.jpg,1
frame55.jpg,0
frame56.jpg,0
frame57.jpg,0
frame58.jpg,0
frame59.jpg,0
frame60.jpg,0
frame61.jpg,1
frame62.jpg,0
frame63.jpg,0
